ID,Address,Sale Price,Sale Date,Type,Beds,Baths,Parking,Land / Size,Air Conditioning,Outdoor Area,LINK
PEN001,"5/90 Lethbridge Street, Penrith","$581,000",2026-08-17,Villa,2,1,1,—,,Yes,https://www.realestate.com.au/sold/property-villa-nsw-penrith-151842460
PEN002,"2/165-169 Derby Street, Penrith","$510,000",2026-08-17,Unit,2,1,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-unit-nsw-penrith-151158192
PEN003,"1/29 Lethbridge Street, Penrith","$567,000",2026-08-14,Unit,2,2,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-unit-nsw-penrith-150811352
PEN004,"2/12 Thurston Street, Penrith","$510,000",2026-08-12,Apartment,2,1,1,—,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151635148
PEN005,"5/90-92 Cox Avenue, Penrith","$820,000",2026-08-11,Townhouse,3,2,2,—,,Yes,https://www.realestate.com.au/sold/property-townhouse-nsw-penrith-151815156
PEN006,"203/1 Markham Avenue, Penrith","$595,000",2026-08-10,Apartment,2,2,1,—,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151850280
PEN007,"28 Cooper Street, Penrith","$1,060,000",2026-08-07,House,3,2,1,657.6 m²,,Yes,https://www.realestate.com.au/sold/property-house-nsw-penrith-151309356
PEN008,"408/10B Premiership Close, Penrith","$640,000",2026-08-06,Apartment,1,—,1,—,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151305192
PEN009,"16 Burrows Street, Penrith","$870,000",2026-08-04,House,2,2,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-house-nsw-penrith-151707028
PEN010,"8 Cudgee Road, Penrith","$802,000",2026-07-29,House,4,2,1,—,,Yes,https://www.realestate.com.au/sold/property-house-nsw-penrith-151444020
PEN011,"631/1-39 Lord Sheffield Circuit, Penrith","$539,000",2026-07-29,Apartment,1,1,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151183212
